Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2018,2018 Annual,Cholesterol Check - Asian,New Jersey,,92.6,,95.7,89.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Black,New Jersey,,91.8,,95,88.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - College Grad,New Jersey,9,93.4,0.48,94.6,92.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Female,New Jersey,1,93.8,1.45,94.9,92.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Hawaiian/Pacific Islander,New Jersey,,,,108.5,72.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - High School Grad,New Jersey,2,92.7,1.22,94.3,91.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Hispanic,New Jersey,,90.2,,92.5,88,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Cholesterol Check - Less than $25,000",New Jersey,4,90.2,1,92.4,88,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Less than High School,New Jersey,14,85.9,0.37,90.4,81.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Male,New Jersey,4,88.1,0.97,89.8,86.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Multiracial,New Jersey,,88.3,,95.5,81.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Other Race,New Jersey,,89.3,,100.1,78.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Some College,New Jersey,3,92.9,1.13,94.6,91.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Suburban,New Jersey,,94.6,,95.7,93.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Urban,New Jersey,33,92.6,-0.4,95.9,89.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - White,New Jersey,3,91.1,1.11,92.4,89.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking,New Jersey,9,5.4,-0.77,6.2,4.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Chronic Drinking - $25-$49,999",New Jersey,5,4.6,-1.03,6.2,2.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Chronic Drinking - $50-$74,999",New Jersey,,4.5,,6.4,2.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Chronic Drinking - $75,000 or More",New Jersey,12,6.7,-0.58,8,5.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Ages 18-44,New Jersey,6,5.4,-1.05,6.6,4.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Ages 45-64,New Jersey,28,6.4,0.08,7.6,5.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Ages 65+,New Jersey,23,4.1,-0.17,5,3.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - American Indian/Alaskan Native,New Jersey,,,,5.5,0,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Asian,New Jersey,,,,5.8,1.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Black,New Jersey,,3.2,,4.6,1.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - College Grad,New Jersey,10,5.1,-0.77,6.1,4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Female,New Jersey,15,5.1,-0.43,6,4.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Hawaiian/Pacific Islander,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - High School Grad,New Jersey,11,5.1,-0.79,6.4,3.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Hispanic,New Jersey,,4.4,,6.2,2.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Chronic Drinking - Less Than $25,000",New Jersey,,5.2,,6.8,3.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Less than High School,New Jersey,,5.6,,8.5,2.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Male,New Jersey,11,5.9,-0.67,7,4.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Multiracial,New Jersey,,,,8.7,0,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Other Race,New Jersey,,,,1.7,0,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Some College,New Jersey,13,5.6,-0.56,7,4.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Suburban,New Jersey,,4.7,,5.7,3.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - Urban,New Jersey,,5.3,,7.9,2.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Chronic Drinking - White,New Jersey,18,6.8,-0.2,7.8,5.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Clinical Care,New Jersey,16,0.056,0.056,,,America's Health Rankings composite measure,2018
2018,2018 Annual,Colorectal Cancer Screening,New Jersey,35,65.1,-0.55,67.6,62.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,"Colorectal Cancer Screening - $25-$49,999",New Jersey,46,59.6,-1.38,67,52.2,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,"Colorectal Cancer Screening - $50-$74,999",New Jersey,42,66.5,-0.95,73.2,59.7,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,"Colorectal Cancer Screening - $75,000 or More",New Jersey,40,70.1,-1.07,74,66.1,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - American Indian/Alaskan Native,New Jersey,,,,67.2,0,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Asian,New Jersey,,53,,68.6,37.5,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Black,New Jersey,,64.8,,72.1,57.5,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - College Grad,New Jersey,36,72.6,-0.81,75.9,69.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Female,New Jersey,38,65.7,-0.77,69,62.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Hawaiian/Pacific Islander,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - High School Grad,New Jersey,40,60.4,-0.85,65.3,55.5,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Hispanic,New Jersey,,57.2,,65.5,48.9,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,"Colorectal Cancer Screening - Less than $25,000",New Jersey,32,55.6,-0.26,61.6,49.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Less than High School,New Jersey,34,50.8,-0.21,60.9,40.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Male,New Jersey,32,64.4,-0.31,68.3,60.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Multiracial,New Jersey,,,,84.5,25.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Other Race,New Jersey,,,,81.5,17.4,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Some College,New Jersey,33,66.8,-0.64,71.8,61.9,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Suburban,New Jersey,,67.1,,70.6,63.7,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - Urban,New Jersey,48,66.9,-1.31,72.4,61.4,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Colorectal Cancer Screening - White,New Jersey,28,68.4,-0.44,71.2,65.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Community & Environment,New Jersey,13,0.144,0.144,,,America's Health Rankings composite measure,2018
2018,2018 Annual,Concentrated Disadvantage,New Jersey,26,19.4,-0.45,,,"U.S. Census Bureau, American Community Survey",2012-2016
2018,2018 Annual,Concentrated Disadvantage,New Jersey,26,19.4,-0.45,,,"U.S. Census Bureau, American Community Survey",2012-2016
2018,2018 Annual,"Dedicated HC Provider - $25-$49,999",New Jersey,19,81.7,0.68,84.8,78.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Dedicated HC Provider - $50-$74,999",New Jersey,20,83.9,0.46,87.5,80.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Dedicated HC Provider - $75,000 or More",New Jersey,31,84.2,-0.26,86.3,82,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - 18-44,New Jersey,23,66.7,0.27,69.3,64.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - 45-64,New Jersey,23,86.1,0.25,87.8,84.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - 65+,New Jersey,31,93.8,-0.19,95,92.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - American Indian/Alaskan Native,New Jersey,,81,,94.1,67.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Asian,New Jersey,,76.9,,82,71.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Black,New Jersey,,78.6,,82.8,74.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - College Grad,New Jersey,31,84.1,-0.16,85.9,82.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Female,New Jersey,22,84.9,0.44,86.5,83.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Hawaiian/Pacific Islander,New Jersey,,,,103.1,61.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - High School Grad,New Jersey,19,81.7,0.55,84.2,79.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Hispanic,New Jersey,,65.3,,69.2,61.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Dedicated HC Provider - Less than $25,000",New Jersey,28,74.1,0.07,77.2,71,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Less than High School,New Jersey,25,69.9,0.2,75.1,64.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Male,New Jersey,23,73,0.18,75.2,70.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Multiracial,New Jersey,,88.8,,94.8,82.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Other Race,New Jersey,,80.8,,97.1,64.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Some College,New Jersey,24,82.4,0.08,85.1,79.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Suburban,New Jersey,,88.1,,89.7,86.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - Urban,New Jersey,48,84.2,-1.38,89,79.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated HC Provider - White,New Jersey,13,84.4,0.47,85.9,82.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Dedicated Health Care Provider,New Jersey,22,79.2,0.28,80.5,77.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Dental Visit - $25-$49,999",New Jersey,9,65.4,1.21,70.1,60.7,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,"Dental Visit - $50-$74,999",New Jersey,10,75.9,1.11,80.4,71.4,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,"Dental Visit - $75,000 or More",New Jersey,18,83.1,0.5,85.5,80.7,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Ages 18-44,New Jersey,3,72.7,1.81,75.4,70,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Ages 45-64,New Jersey,6,75.7,1.31,78,73.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Ages 65+,New Jersey,14,70.8,0.63,73.8,67.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - American Indian/Alaskan Native,New Jersey,,,,96.3,62.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Asian,New Jersey,,71.2,,77.5,65,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Black,New Jersey,,67.1,,71.8,62.4,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - College Grad,New Jersey,12,82.9,0.88,84.9,81,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Female,New Jersey,3,77.2,1.56,79.2,75.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Hawaiian/Pacific Islander,New Jersey,,,,108.4,58.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - High School Grad,New Jersey,5,66.7,1.4,70.2,63.3,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Hispanic,New Jersey,,62.3,,66.5,58,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,"Dental Visit - Less Than $25,000",New Jersey,3,55.3,1.49,59.4,51.2,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Less than High School,New Jersey,2,53.1,1.41,59.3,46.9,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Male,New Jersey,9,69.2,1.2,71.7,66.7,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Multiracial,New Jersey,,64.5,,82.8,46.2,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Other Race,New Jersey,,,,98.2,72.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Some College,New Jersey,4,74.8,1.49,78,71.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Suburban,New Jersey,,78.1,,80.3,75.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - Urban,New Jersey,16,74.4,0.68,78.3,70.6,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dental Visit - White,New Jersey,3,78.6,1.73,80.4,76.7,"CDC, Behavioral Risk Factor Surveillance System",2016
